,author,description,publishedAt,title,url,urlToImage
0,Al Jazeera,State TV says Iranian forces impounded a foreign ship with a crew of 12 in its territorial waters on Sunday.,2019-07-18T12:08:38Z,"Iran seizes foreign oil tanker for 'smuggling oil', crew arrested",https://www.aljazeera.com/news/2019/07/iran-seizes-foreign-oil-tanker-smuggling-oil-crew-arrested-190718112357048.html,https://www.aljazeera.com/mritems/Images/2019/6/16/d933e9f86d614339ab6dc5df0ab1ed9f_18.jpg
1,Al Jazeera,Gibraltar had seized an Iranian oil tanker suspected by the UK of carrying two million barrels of crude oil to Syria.,2019-07-11T18:35:39Z,"Gibraltar arrests captain, chief officer of seized Iranian tanker",https://www.aljazeera.com/news/2019/07/gibraltar-arrests-captain-chief-officer-seized-iranian-tanker-190711182958395.html,https://www.aljazeera.com/mritems/Images/2019/7/8/a8a6f15651664fad891f54c24a2f318d_18.jpg
2,Al Jazeera,Gibraltar had seized an Iranian oil tanker suspected by the UK of carrying two million barrels of crude oil to Syria.,2019-07-11T17:51:01Z,"Captain, chief officer of seized Iranian tanker arrested in Gibraltar",https://www.aljazeera.com/news/2019/07/captain-chief-officer-seized-iranian-tanker-arrested-gibraltar-190711175101896.html,https://www.aljazeera.com/mritems/images/2019/7/11/665003303001_6057981228001_6057965424001-th.jpg
3,Al Jazeera,"Government of Gilbraltar says tanker was carrying crude oil to the Banyas Refinery in Syria, in breach of EU sanctions.",2019-07-04T08:27:15Z,Oil supertanker bound for Syria held in Gibraltar by UK Marines,https://www.aljazeera.com/news/2019/07/oil-supertanker-bound-syria-held-gibraltar-uk-marines-190704070246306.html,https://www.aljazeera.com/mritems/Images/2019/7/4/3f23daf1b0d448f99b601c130bbee448_18.jpg
4,Al Jazeera,The move comes after the Trump administration blamed Tehran and its proxies for attacks on oil tankers in the Gulf.,2019-07-10T02:56:36Z,"US wants military coalition to safeguard waters off Iran, Yemen",https://www.aljazeera.com/news/2019/07/military-coalition-safeguard-waters-iran-yemen-190710020439304.html,https://www.aljazeera.com/mritems/Images/2019/6/13/27d4c95448eb4f0992dd59966f39b0d0_18.jpg
5,Al Jazeera,At least 45 people killed during blast in central Benue state in Nigeria's latest oil-related accident.,2019-07-02T15:00:18Z,Nigeria oil tanker explosion kills scores: official,https://www.aljazeera.com/news/2019/07/nigeria-oil-tanker-explosion-kills-scores-official-190702120815311.html,https://www.aljazeera.com/mritems/Images/2019/7/2/0c8f6cf40f6f4c30b7c7f099b9b8c8b9_18.jpg
6,Al Jazeera,Officials say Iran will not tolerate Britain's 'maritime robbery' and deny claim tanker was on its way to Syria.,2019-07-08T08:03:14Z,Iran condemns UK's seizure of oil tanker as 'threatening act',https://www.aljazeera.com/news/2019/07/iran-condemns-uk-seizure-oil-tanker-threatening-act-190708064328708.html,https://www.aljazeera.com/mritems/Images/2019/7/8/52dfd4183c574da992d650f1dc0ced6c_18.jpg
7,Al Jazeera,FM Jeremy Hunt says UK in talks with a number of countries to ensure safe shipping after Iran seized its oil tanker.,2019-07-22T19:44:00Z,UK seeks European naval force to counter 'piracy' in Gulf,https://www.aljazeera.com/news/2019/07/uk-seeks-european-naval-force-counter-piracy-gulf-190722175438991.html,https://www.aljazeera.com/mritems/Images/2019/7/22/96d77c400cc24f31938f59c9d4b861b4_18.jpg
8,Al Jazeera,Iran condemned 'illegal' seizure of oil tanker in Gibraltar and demanded its immediate release.,2019-07-05T17:58:40Z,What's behind the seizure of the Iranian oil tanker in Gibraltar?,https://www.aljazeera.com/programmes/insidestory/2019/07/seizure-iranian-oil-tanker-gibraltar-190705175028046.html,https://www.aljazeera.com/mritems/Images/2019/7/22/96d77c400cc24f31938f59c9d4b861b4_18.jpg
9,Kate Mayberry,Survey in Sabah highlights importance of wildlife corridors and commitments to sustainable palm oil and timber.,2019-07-18T07:15:33Z,Conservation in focus as survey shows drop in Malaysia orangutans,https://www.aljazeera.com/news/2019/07/conservation-focus-survey-shows-drop-malaysia-orangutans-190718045812235.html,https://www.aljazeera.com/mritems/Images/2012/3/29/201232992715287580_20.jpg
10,Al Jazeera,"'Long-planned movement', says UK as Iran's supreme leader vows response to Britain's 'piracy' of its oil tanker.",2019-07-16T18:18:33Z,"UK to send third warship to Gulf, says not related to Iran crisis",https://www.aljazeera.com/news/2019/07/uk-send-warship-gulf-related-iran-crisis-190716133009035.html,https://www.aljazeera.com/mritems/Images/2019/7/16/1a3a3ab82577440095b2678578c9e300_18.jpg
11,Al Jazeera,Statement comes amid questions over whereabouts of Panamanian-flagged oil tanker travelling in the Strait of Hormuz.,2019-07-17T08:37:54Z,Iran says it towed foreign tanker with technical failure,https://www.aljazeera.com/news/2019/07/iran-towed-foreign-tanker-technical-failure-190717063656201.html,https://www.aljazeera.com/mritems/Images/2019/6/16/7b447cc8945e48b0b0a4ff7e15699c94_18.jpg
12,Al Jazeera,The recent seizure of oil tankers in the Persian Gulf has raised questions over what common shipping practice entails.,2019-07-21T20:00:38Z,Why do ships sail under flags of convenience?,https://www.aljazeera.com/programmes/insidestory/2019/07/ships-sail-flags-convenience-190721193123238.html,https://www.aljazeera.com/mritems/Images/2019/6/16/7b447cc8945e48b0b0a4ff7e15699c94_18.jpg
13,Al Jazeera,Has the quest for higher oil prices forced Saudi Arabia to relinquish control of the cartel to Putin's Russia?,2019-07-06T13:19:30Z,"Who runs OPEC? Russia, Saudi and the hunt for higher oil prices",https://www.aljazeera.com/programmes/countingthecost/2019/07/runs-opec-russia-saudi-hunt-higher-oil-prices-190705121456059.html,https://www.aljazeera.com/mritems/Images/2019/6/16/7b447cc8945e48b0b0a4ff7e15699c94_18.jpg
14,Al Jazeera,Video by Iran's Revolutionary Guard Corps shows how the British oil tanker was seized in Strait of Hormuz on Friday.,2019-07-20T19:20:41Z,Iran releases video showing capture of British oil tanker,https://www.aljazeera.com/news/2019/07/iran-releases-video-showing-capture-british-oil-tanker-190720174305101.html,https://www.aljazeera.com/mritems/Images/2019/7/20/a08a46d4d18249d4882ed4af8c3b5b27_18.jpg
15,Al Jazeera,British prime minister chairs emergency meeting to decide on how to respond after Iran seized its oil tanker.,2019-07-22T12:11:18Z,UK tells Iran to release tanker and crew immediately,https://www.aljazeera.com/news/2019/07/uk-tells-iran-release-tanker-crew-immediately-190722054424045.html,https://www.aljazeera.com/mritems/Images/2019/7/22/96d77c400cc24f31938f59c9d4b861b4_18.jpg
16,Al Jazeera,Official says Britain should be 'scared' of Iran's retaliation over seizure of Iranian tanker off the coast of Spain.,2019-07-06T10:50:31Z,Iran religious leader threatens UK over capture of oil tanker,https://www.aljazeera.com/news/2019/07/iran-religious-leader-threatens-uk-capture-oil-tanker-190706091738043.html,https://www.aljazeera.com/mritems/Images/2019/7/4/af14f7c7600c443fbcd4d8801fe6f2bd_18.jpg
17,Al Jazeera,Iran seizes a UK oil tanker after Britain detained one of its ships off the coast of Gibraltar earlier this month.,2019-07-20T19:41:20Z,Will tension in the Gulf spiral out of control?,https://www.aljazeera.com/programmes/insidestory/2019/07/tension-gulf-spiral-control-190720193005357.html,https://www.aljazeera.com/mritems/Images/2019/7/4/af14f7c7600c443fbcd4d8801fe6f2bd_18.jpg
18,Al Jazeera,"Gibraltar says tanker transporting crude oil to Syria in breach of EU sanctions, as Spain says move made at US request.",2019-07-05T07:25:40Z,Iran demands UK release Syria-bound oil tanker held in Gibraltar,https://www.aljazeera.com/news/2019/07/iran-demands-uk-release-syria-bound-oil-tanker-held-gibraltar-190705065000381.html,https://www.aljazeera.com/mritems/Images/2019/7/5/4b3e7b8b7c214e709956903b93dae8d5_18.jpg
19,Rory Challands,"The UK moved to maritime security level 3 after its government said the ship, the BP oil tanker British Heritage, was approached by 3 Iranian vessels.",2019-07-12T13:17:05Z,Tanker dispute: Captain of Iranian vessels arrested,https://www.aljazeera.com/news/2019/07/tanker-dispute-captain-iranian-vessels-arrested-190712131705093.html,https://www.aljazeera.com/mritems/images/2019/7/12/665003303001_6058373322001_6058372650001-th.jpg
